ts,symbol,last_price
1767631407118,BTCUSDT,93851.5
1767631407129,ETHUSDT,3185.18
1767631407200,BNBUSDT,905.9
1767631407291,LTCUSDT,83.08
1767631407401,ADAUSDT,0.4139
1767631407412,XRPUSDT,2.1849
1767631407667,DOGEUSDT,0.15027
1767631407887,SOLUSDT,135.48
1767631408065,DOTUSDT,2.184
1767631408117,BTCUSDT,93851.5
1767631408128,ETHUSDT,3185.18
1767631408200,BNBUSDT,905.89
1767631408291,LTCUSDT,83.09
1767631408476,ADAUSDT,0.4139
1767631408477,XRPUSDT,2.1849
1767631409149,DOGEUSDT,0.15027
1767631409176,SOLUSDT,135.49
1767631409214,DOTUSDT,2.184
1767631409215,BTCUSDT,93860
1767631409218,ETHUSDT,3185.19
1767631409290,BNBUSDT,905.89
1767631409298,LTCUSDT,83.09
1767631409480,ADAUSDT,0.4139
1767631409483,XRPUSDT,2.1852
1767631409666,DOGEUSDT,0.15029
1767631409920,SOLUSDT,135.49
1767631410077,DOTUSDT,2.184
1767631410165,BTCUSDT,93860
1767631410166,ETHUSDT,3185.19
1767631410201,BNBUSDT,905.89
1767631410290,LTCUSDT,83.08
1767631410505,ADAUSDT,0.4139
1767631410507,XRPUSDT,2.1852
1767631410693,DOGEUSDT,0.15028
1767631410891,SOLUSDT,135.49
1767631411159,BTCUSDT,93860
1767631411160,ETHUSDT,3185.19
1767631411304,BNBUSDT,905.9
1767631411308,LTCUSDT,83.09
1767631411410,ADAUSDT,0.4139
1767631411420,XRPUSDT,2.1852
1767631411717,DOGEUSDT,0.15031
1767631411920,SOLUSDT,135.49
1767631412066,DOTUSDT,2.184
1767631412118,BTCUSDT,93860
1767631412130,ETHUSDT,3185.1
1767631412331,BNBUSDT,905.9
1767631412336,LTCUSDT,83.09
1767631412539,ADAUSDT,0.4139
1767631412541,XRPUSDT,2.1852
1767631412671,DOGEUSDT,0.1503
1767631412951,SOLUSDT,135.49
1767631413151,DOTUSDT,2.184
1767631413154,BTCUSDT,93860
1767631413155,ETHUSDT,3185.08
1767631413244,BNBUSDT,905.9
1767631413291,LTCUSDT,83.08
1767631413566,ADAUSDT,0.4139
1767631413576,XRPUSDT,2.185
1767631413765,DOGEUSDT,0.15028
1767631413890,SOLUSDT,135.46
1767631414190,DOTUSDT,2.183
1767631414203,BTCUSDT,93854.5
1767631414376,ETHUSDT,3184.5
1767631414377,BNBUSDT,905.9
1767631414379,LTCUSDT,83.08
1767631414531,ADAUSDT,0.4139
1767631414534,XRPUSDT,2.185
1767631414785,DOGEUSDT,0.15028
1767631415080,SOLUSDT,135.46
1767631415110,DOTUSDT,2.183
1767631415118,BTCUSDT,93849.6
1767631415130,ETHUSDT,3184.26
1767631415395,BNBUSDT,905.9
1767631415426,ADAUSDT,0.4139
1767631415429,XRPUSDT,2.1851
1767631415670,DOGEUSDT,0.15028
1767631415922,SOLUSDT,135.42
1767631416065,DOTUSDT,2.183
1767631416122,BTCUSDT,93830.5
1767631416130,ETHUSDT,3183.59
1767631416201,BNBUSDT,905.78
1767631416292,LTCUSDT,83.06
1767631416400,ADAUSDT,0.4137
1767631416412,XRPUSDT,2.1844
1767631416666,DOGEUSDT,0.15022
1767631416891,SOLUSDT,135.41
1767631417122,BTCUSDT,93826.5
1767631417130,ETHUSDT,3183.13
1767631417201,BNBUSDT,905.78
1767631417292,LTCUSDT,83.05
1767631417400,ADAUSDT,0.4137
1767631417411,XRPUSDT,2.1842
1767631417670,DOGEUSDT,0.15023
1767631417893,SOLUSDT,135.41
1767631418066,DOTUSDT,2.183
1767631418162,BTCUSDT,93815.1
1767631418162,ETHUSDT,3183.09
1767631418201,BNBUSDT,905.73
1767631418292,LTCUSDT,83.04
1767631418400,ADAUSDT,0.4137
1767631418410,XRPUSDT,2.1842
1767631418667,DOGEUSDT,0.15023
1767631418891,SOLUSDT,135.41
1767631419118,BTCUSDT,93815.1
1767631419130,ETHUSDT,3183.09
1767631419201,BNBUSDT,905.71
1767631419293,LTCUSDT,83.03
1767631419402,ADAUSDT,0.4136
1767631419422,XRPUSDT,2.1841
1767631419667,DOGEUSDT,0.15023
1767631419891,SOLUSDT,135.41
1767631420069,DOTUSDT,2.183
1767631420119,BTCUSDT,93806.3
1767631420119,ETHUSDT,3182.85
1767631420200,BNBUSDT,905.66
1767631420399,ADAUSDT,0.4135
1767631420410,XRPUSDT,2.1839
1767631420671,DOGEUSDT,0.15022
1767631420891,SOLUSDT,135.39
1767631421065,DOTUSDT,2.183
1767631421118,BTCUSDT,93806.3
1767631421118,ETHUSDT,3182.6
1767631421200,BNBUSDT,905.64
1767631421292,LTCUSDT,83.03
1767631421400,ADAUSDT,0.4135
1767631421409,XRPUSDT,2.1838
1767631421666,DOGEUSDT,0.15022
1767631421892,SOLUSDT,135.39
1767631422066,DOTUSDT,2.183
1767631422131,BTCUSDT,93806.3
1767631422133,ETHUSDT,3182.6
1767631422201,BNBUSDT,905.63
1767631422401,ADAUSDT,0.4135
1767631422413,XRPUSDT,2.1838
1767631422671,DOGEUSDT,0.1502
1767631422888,SOLUSDT,135.4
1767631423066,DOTUSDT,2.183
1767631423119,BTCUSDT,93806.3
1767631423120,ETHUSDT,3182.6
1767631423202,BNBUSDT,905.63
1767631423292,LTCUSDT,83.03
1767631423413,XRPUSDT,2.1837
1767631423667,DOGEUSDT,0.15019
1767631423891,SOLUSDT,135.4
1767631424066,DOTUSDT,2.183
1767631424119,BTCUSDT,93806.3
1767631424120,ETHUSDT,3182.6
1767631424198,BNBUSDT,905.63
1767631424292,LTCUSDT,83.03
1767631424400,ADAUSDT,0.4136
1767631424412,XRPUSDT,2.1837
1767631424666,DOGEUSDT,0.1502
1767631424891,SOLUSDT,135.4
1767631425118,BTCUSDT,93806.3
1767631425129,ETHUSDT,3182.65
1767631425201,BNBUSDT,905.6
1767631425291,LTCUSDT,83.03
1767631425398,ADAUSDT,0.4135
1767631425409,XRPUSDT,2.1836
1767631425666,DOGEUSDT,0.15019
1767631425890,SOLUSDT,135.4
1767631426117,BTCUSDT,93806.3
1767631426129,ETHUSDT,3182.66
1767631426201,BNBUSDT,905.55
1767631426291,LTCUSDT,83.03
1767631426409,XRPUSDT,2.1836
1767631426670,DOGEUSDT,0.15019
1767631426891,SOLUSDT,135.39
1767631427066,DOTUSDT,2.183
1767631427118,BTCUSDT,93806.3
